cfg,phase,xi,scale,sigma,resp_rms,err
200,anti,1.0,4.0,8e-06,1.2373156015739876e-10,0.00012283187663913894
200,anti,2.0,1.0,2e-06,2.3814337174299414e-11,6.226254823065024e-05
200,anti,2.0,4.0,8e-06,9.525734869719765e-11,0.00025775654157414815
200,anti,5.0,1.0,2e-06,1.2356026244387488e-11,0.00026560412173116135
200,anti,5.0,4.0,8e-06,4.942410497754995e-11,0.0010816429117242574
200,anti,10.0,1.0,2e-06,7.96285207840117e-12,0.0014639693869916742
200,anti,10.0,4.0,8e-06,3.185140831360468e-11,0.005927381238962688
200,anti,20.0,1.0,2e-06,5.364641975136265e-12,0.002393970389154819
200,anti,20.0,4.0,8e-06,2.145856790054506e-11,0.009633988356766128
200,anti,50.0,1.0,2e-06,3.761636988166331e-12,0.0033108435026174667
200,anti,50.0,4.0,8e-06,1.5046547952665323e-11,0.013379535619258103
200,anti,,1.0,2e-06,1.7035737223432286e-14,1.744632152316697
200,anti,,4.0,8e-06,6.814294889372915e-14,7.006157263222088
